ID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,weight,height,bats,throws,salary
2014liriafr01,1,PIT,NL,7,10,29,29,0,0,0,487,130,61,13,81,175,0.218,3.38,3.0,12,4.0,0,691.0,0,68,6.0,5.0,11.0,220.0,75.0,L,L,6000000.0
2014lockeje01,1,PIT,NL,7,6,21,21,0,0,0,394,127,57,16,40,89,0.257,3.91,2.0,1,4.0,0,548.0,0,63,6.0,3.0,13.0,200.0,72.0,L,L,513000.0
2014loganbo02,1,COL,NL,2,3,35,0,0,0,0,75,31,19,6,11,32,0.31,6.84,1.0,3,1.0,0,116.0,8,20,2.0,2.0,3.0,215.0,77.0,R,L,4750000.0
2014lohseky01,1,MIL,NL,13,9,31,31,2,2,0,595,183,78,22,45,141,0.246,3.54,0.0,1,8.0,0,817.0,0,87,9.0,9.0,11.0,215.0,74.0,R,R,11000000.0
2014lopezja02,1,SFN,NL,1,1,65,0,0,0,0,113,31,13,2,19,22,0.22,3.11,6.0,1,2.0,0,167.0,14,14,3.0,2.0,2.0,220.0,76.0,L,L,4000000.0
2014lopezwi01,1,COL,NL,0,0,4,0,0,0,0,19,18,8,3,0,4,0.514,11.37,0.0,0,0.0,0,36.0,1,8,0.0,1.0,0.0,200.0,72.0,R,R,2200000.0
2014loupaa01,1,TOR,AL,4,4,71,0,0,0,4,206,50,24,4,30,56,0.207,3.15,5.0,5,6.0,0,283.0,15,25,3.0,3.0,7.0,210.0,71.0,L,L,512400.0
2014luekejo01,1,TBA,AL,1,2,25,0,0,0,0,91,38,19,7,5,19,0.299,5.64,1.0,0,1.0,0,135.0,13,20,0.0,2.0,1.0,245.0,77.0,R,R,504200.0
2014lylesjo01,1,COL,NL,7,4,22,22,0,0,0,380,127,61,12,46,90,0.262,4.33,1.0,6,8.0,0,546.0,0,64,4.0,3.0,12.0,230.0,77.0,R,R,502000.0
2014lynnla01,1,SLN,NL,15,10,33,33,2,1,0,611,185,62,13,72,181,0.238,2.74,1.0,7,7.0,0,866.0,0,72,6.0,4.0,12.0,270.0,77.0,B,R,535000.0
2014machije01,1,SFN,NL,7,1,71,0,0,0,2,199,45,19,5,18,51,0.201,2.58,3.0,5,1.0,1,249.0,13,19,5.0,1.0,12.0,257.0,71.0,R,R,505000.0
2014maholpa01,1,LAN,NL,1,5,30,8,0,0,0,212,82,38,8,28,34,0.297,4.84,3.0,2,3.0,1,311.0,7,44,3.0,1.0,15.0,245.0,74.0,L,L,1500000.0
2014maldoma01,1,MIL,NL,0,0,1,0,0,0,0,3,1,0,0,0,0,0.25,0.0,0.0,0,0.0,0,4.0,1,0,0.0,0.0,0.0,230.0,72.0,R,R,502000.0
2014manesse01,1,SLN,NL,6,4,73,0,0,0,3,241,77,26,7,11,55,0.261,2.91,3.0,2,2.0,1,317.0,17,29,5.0,4.0,12.0,190.0,72.0,R,R,509000.0
2014marmoca01,1,MIA,NL,0,3,15,0,0,0,0,40,16,12,3,10,14,0.291,8.1,2.0,2,1.0,0,66.0,6,12,0.0,0.0,1.0,235.0,73.0,R,R,1250000.0
2014marshse01,1,CIN,NL,0,0,15,0,0,0,0,42,23,12,1,12,14,0.354,7.71,0.0,1,2.0,0,80.0,4,14,1.0,0.0,1.0,225.0,79.0,L,L,5500000.0
2014martica04,1,SLN,NL,2,4,57,7,0,0,1,268,90,40,4,36,84,0.266,4.03,8.0,8,4.0,1,386.0,13,41,7.0,1.0,5.0,200.0,72.0,R,R,505000.0
2014martiet01,1,PHI,NL,0,0,2,0,0,0,0,12,1,2,1,3,4,0.071,4.5,0.0,0,0.0,0,17.0,1,2,0.0,0.0,0.0,225.0,74.0,R,R,500000.0
2014masteju01,1,CLE,AL,4,6,19,19,0,0,0,294,106,60,6,56,93,0.279,5.51,2.0,9,11.0,0,452.0,0,66,4.0,1.0,17.0,260.0,78.0,R,R,9762500.0
2014masteju01,2,SLN,NL,3,3,9,6,0,0,0,92,35,24,6,13,23,0.294,7.04,0.0,5,4.0,0,140.0,1,24,4.0,0.0,4.0,260.0,78.0,R,R,9762500.0
2014matsuda01,1,NYN,NL,3,3,34,9,0,0,1,250,62,36,6,50,78,0.209,3.89,5.0,6,6.0,0,359.0,5,38,4.0,2.0,7.0,205.0,72.0,R,R,1500000.0
2014matthry01,1,WAS,NL,0,0,7,0,0,0,0,26,7,1,0,4,4,0.233,1.04,0.0,0,1.0,0,35.0,4,1,0.0,0.0,3.0,220.0,75.0,R,R,520000.0
2014matusbr01,1,BAL,AL,2,3,63,0,0,0,0,155,51,20,7,17,53,0.25,3.48,4.0,3,3.0,0,226.0,11,23,0.0,2.0,0.0,190.0,77.0,L,L,2400000.0
2014maurebr01,1,SEA,AL,1,4,38,7,0,0,0,209,74,36,6,19,55,0.267,4.65,2.0,3,0.0,0,301.0,4,39,2.0,3.0,6.0,225.0,77.0,R,R,504600.0
2014mazzavi01,1,PIT,NL,0,0,5,0,0,0,0,31,8,4,2,5,7,0.205,3.48,0.0,0,1.0,0,46.0,1,4,1.0,0.0,0.0,220.0,74.0,R,R,950000.0
2014mcallza01,1,CLE,AL,4,7,22,15,0,0,0,258,96,50,7,28,74,0.28,5.23,1.0,3,0.0,0,377.0,2,54,1.0,5.0,6.0,240.0,78.0,R,R,504500.0
2014mcfartj01,1,BAL,AL,4,2,37,1,0,0,0,176,70,18,2,13,34,0.3,2.76,2.0,0,4.0,0,255.0,14,22,5.0,0.0,11.0,200.0,75.0,L,L,505500.0
2014mcgeeja01,1,TBA,AL,5,2,73,0,0,0,19,214,48,15,2,16,90,0.189,1.89,1.0,1,2.0,0,274.0,31,15,1.0,1.0,1.0,229.0,76.0,L,L,1450000.0
2014mcgowdu01,1,TOR,AL,5,3,53,8,0,0,1,246,80,38,13,33,61,0.253,4.17,1.0,2,3.0,0,354.0,9,41,0.0,2.0,6.0,235.0,75.0,R,R,1500000.0
2014medinyo01,1,SEA,AL,5,3,66,0,0,0,0,171,48,17,3,28,60,0.229,2.68,3.0,8,5.0,0,247.0,19,18,0.0,4.0,6.0,245.0,75.0,R,R,512600.0
2014mejiaje01,1,NYN,NL,6,6,63,7,0,0,28,281,98,38,9,41,98,0.265,3.65,8.0,5,4.0,0,417.0,49,41,2.0,0.0,10.0,205.0,72.0,R,R,509675.0
2014melanma01,1,PIT,NL,3,5,72,0,0,0,33,213,51,15,2,11,71,0.195,1.9,1.0,3,3.0,0,277.0,48,15,1.0,1.0,0.0,215.0,73.0,R,R,2595000.0
2014mileywa01,1,ARI,NL,8,12,33,33,0,0,0,604,207,97,23,75,183,0.269,4.34,3.0,9,4.0,0,866.0,0,103,8.0,9.0,18.0,220.0,74.0,L,L,523500.0
2014millean01,1,BOS,AL,3,5,50,0,0,0,0,127,25,11,2,13,69,0.168,2.34,2.0,2,4.0,0,170.0,12,13,2.0,2.0,1.0,200.0,79.0,L,L,1900000.0
2014millean01,2,BAL,AL,2,0,23,0,0,0,1,60,8,3,1,4,34,0.119,1.35,0.0,1,1.0,0,72.0,3,3,0.0,0.0,1.0,200.0,79.0,L,L,1900000.0
2014millesh01,1,SLN,NL,10,9,32,31,1,1,0,549,160,76,22,73,127,0.236,3.74,4.0,4,2.0,0,764.0,0,78,7.0,4.0,14.0,225.0,75.0,R,R,521000.0
2014milonto01,1,OAK,AL,6,3,16,16,0,0,0,289,91,38,12,26,61,0.245,3.55,2.0,0,4.0,0,405.0,0,42,1.0,2.0,4.0,215.0,72.0,L,L,510000.0
2014milonto01,2,MIN,AL,0,1,6,5,0,0,0,65,37,17,4,11,14,0.363,7.06,0.0,0,1.0,0,114.0,1,21,0.0,0.0,2.0,215.0,72.0,L,L,510000.0
2014minormi01,1,ATL,NL,6,12,25,25,0,0,0,436,165,77,21,44,120,0.285,4.77,2.0,5,6.0,0,637.0,0,77,6.0,2.0,12.0,210.0,76.0,R,L,3850000.0
2014moralfr01,1,COL,NL,6,9,38,22,0,0,0,427,166,85,24,65,100,0.296,5.37,4.0,5,6.0,4,646.0,4,90,7.0,7.0,16.0,210.0,73.0,L,L,1712500.0
2014morelmi01,1,TEX,AL,0,0,1,0,0,0,0,3,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,3.0,1,0,0.0,0.0,0.0,245.0,75.0,L,L,2650000.0
2014morribr01,1,PIT,NL,4,0,21,0,0,0,0,71,25,10,4,12,14,0.294,3.8,3.0,3,2.0,1,103.0,7,11,2.0,2.0,3.0,220.0,75.0,L,R,511500.0
2014morribr01,2,MIA,NL,4,1,39,0,0,0,0,122,33,3,2,12,36,0.221,0.66,3.0,5,2.0,0,169.0,3,6,5.0,1.0,2.0,220.0,75.0,L,R,511500.0
2014morrobr01,1,TOR,AL,1,3,13,6,0,0,0,100,37,21,2,18,30,0.287,5.67,0.0,1,0.0,1,148.0,2,21,1.0,0.0,6.0,207.0,75.0,R,R,8000000.0
2014mortoch02,1,PIT,NL,6,12,26,26,0,0,0,472,143,65,9,57,126,0.247,3.72,2.0,8,19.0,0,666.0,0,76,7.0,5.0,22.0,215.0,77.0,R,R,4000000.0
2014motteja01,1,SLN,NL,1,0,29,0,0,0,0,75,29,13,7,9,17,0.293,4.68,0.0,1,0.0,0,110.0,10,14,0.0,2.0,1.0,205.0,72.0,R,R,7500000.0
2014mujiced01,1,BOS,AL,2,4,64,0,0,0,8,180,69,26,6,14,43,0.294,3.9,2.0,1,0.0,0,253.0,31,28,2.0,2.0,5.0,220.0,75.0,R,R,4750000.0
2014nathajo01,1,DET,AL,5,4,62,0,0,0,35,174,60,31,5,29,54,0.265,4.81,3.0,4,1.0,1,259.0,54,32,1.0,2.0,4.0,230.0,76.0,R,R,9000000.0
2014neshepa01,1,SLN,NL,7,2,71,0,0,0,6,202,44,14,4,9,68,0.183,1.87,2.0,1,2.0,0,255.0,17,14,2.0,2.0,2.0,220.0,75.0,B,R,1000000.0
2014nicasju01,1,COL,NL,6,6,33,14,0,0,0,281,107,56,19,31,63,0.289,5.38,1.0,3,1.0,1,409.0,7,59,5.0,2.0,4.0,250.0,76.0,R,R,2025000.0
2014niesejo01,1,NYN,NL,9,11,30,30,0,0,0,563,193,71,17,45,138,0.268,3.4,0.0,3,7.0,0,786.0,0,80,10.0,5.0,19.0,215.0,75.0,L,L,5000000.0
2014nolasri01,1,MIN,AL,6,12,27,27,1,0,0,477,203,95,22,38,115,0.316,5.38,1.0,5,5.0,0,695.0,0,96,4.0,5.0,16.0,235.0,74.0,R,R,12000000.0
2014norribu01,1,BAL,AL,15,8,28,28,0,0,0,496,149,67,20,52,139,0.242,3.65,2.0,3,14.0,0,687.0,0,68,1.0,4.0,14.0,215.0,72.0,R,R,5300000.0
2014nunezle01,1,TBA,AL,3,3,32,0,0,0,1,95,27,13,3,16,26,0.225,3.69,1.0,5,3.0,0,140.0,13,14,0.0,1.0,0.0,195.0,74.0,R,R,1500000.0
2014nunovi01,1,NYA,AL,2,5,17,14,0,0,0,234,86,47,15,26,60,0.282,5.42,1.0,4,2.0,0,339.0,1,52,0.0,6.0,7.0,210.0,71.0,L,L,504500.0
2014nunovi01,2,ARI,NL,0,7,14,14,0,0,0,251,71,35,10,20,69,0.228,3.76,0.0,1,4.0,0,340.0,0,37,3.0,1.0,1.0,210.0,71.0,L,L,504500.0
2014odayda01,1,BAL,AL,5,2,68,0,0,0,4,206,42,13,6,19,73,0.174,1.7,4.0,0,8.0,0,271.0,18,14,1.0,2.0,4.0,220.0,76.0,R,R,3200000.0
2014odorija01,1,TBA,AL,11,13,31,31,0,0,0,504,156,77,20,59,174,0.242,4.13,0.0,3,5.0,0,719.0,0,79,3.0,8.0,1.0,190.0,74.0,R,R,503100.0
2014oflaher01,1,OAK,AL,1,0,21,0,0,0,1,60,15,5,3,4,15,0.205,2.25,0.0,3,2.0,0,80.0,6,5,1.0,0.0,2.0,210.0,74.0,L,L,1500000.0
2014ogandal01,1,TEX,AL,2,3,27,0,0,0,1,75,33,19,1,15,22,0.314,6.84,1.0,4,1.0,0,122.0,10,19,1.0,0.0,1.0,200.0,76.0,R,R,2625000.0
2014ondrulo01,1,CIN,NL,3,3,40,0,0,0,0,123,50,25,5,16,42,0.296,5.49,1.0,3,1.0,0,189.0,10,26,2.0,1.0,0.0,230.0,80.0,R,R,1350000.0
