Year,Full Name,Age,Salary,ERA,Hits,Earned Runs,Strike Outs,Home Runs,Wins,Losses,Outs Pitched,Batters Faced by Pitcher,Games Finished,Weight,Height,League,Team,Games Started
1991,DarwinDanny,36.0,3250000.0,5.16,71,39,42,15,3,6,204,292.0,0,185.0,75.0,AL,BOS,12
1991,de JesusJose,26.0,145000.0,3.42,147,69,118,7,10,9,545,801.0,1,175.0,77.0,NL,PHI,29
1991,DeLeonJose,31.0,2366667.0,2.71,144,49,118,15,5,9,488,679.0,0,210.0,75.0,NL,SLN,28
1991,DeLuciaRich,27.0,100000.0,5.09,176,103,98,31,12,13,546,779.0,0,185.0,72.0,AL,SEA,31
1991,DeshaiesJim,31.0,2100000.0,4.98,156,89,98,19,5,12,483,686.0,0,222.0,76.0,NL,HOU,28
1991,DownsKelly,31.0,525000.0,4.19,99,52,62,12,10,4,335,479.0,4,195.0,76.0,NL,SFN,11
1991,DrabekDoug,29.0,3350000.0,3.07,245,80,142,16,15,14,704,977.0,0,185.0,73.0,NL,PIT,35
1991,EilandDave,25.0,110000.0,5.33,87,43,18,10,2,5,218,317.0,4,210.0,75.0,AL,NYA,13
1991,EricksonScott,23.0,143500.0,3.18,189,72,108,13,20,8,612,851.0,0,220.0,76.0,AL,MIN,32
1991,FernandezAlex,22.0,120000.0,4.51,186,96,145,16,9,13,575,827.0,1,200.0,74.0,AL,CHA,32
1991,FernandezSid,29.0,2166667.0,2.86,36,14,31,4,1,3,132,177.0,0,220.0,73.0,NL,NYN,8
1991,FinleyChuck,29.0,2500000.0,3.8,205,96,171,23,18,9,682,955.0,0,220.0,78.0,AL,CAL,34
1991,GakelerDan,27.0,125000.0,5.74,73,47,43,5,1,4,221,331.0,11,215.0,78.0,AL,DET,7
1991,GardnerMark,29.0,185000.0,3.85,139,72,107,17,9,11,505,692.0,0,190.0,73.0,NL,MON,27
1991,GlavineTom,25.0,697500.0,2.55,201,70,192,17,20,11,740,989.0,0,175.0,72.0,NL,ATL,34
1991,GoodenDwight,27.0,2466667.0,3.6,185,76,150,12,13,7,570,789.0,0,190.0,74.0,NL,NYN,27
1991,GordonTom,24.0,325000.0,3.87,129,68,167,16,9,14,474,684.0,11,160.0,69.0,AL,KCA,14
1991,GreeneTommy,24.0,115000.0,3.38,177,78,154,19,13,7,623,857.0,3,225.0,77.0,NL,PHI,27
1991,GrimsleyJason,24.0,118000.0,4.87,54,33,42,4,1,7,183,272.0,0,180.0,75.0,NL,PHI,12
1991,GrossKevin,30.0,2166667.0,3.58,123,46,95,10,10,11,347,509.0,16,203.0,77.0,NL,LAN,10
1991,GrossKip,27.0,108000.0,3.47,93,33,40,8,6,4,257,381.0,6,195.0,74.0,NL,CIN,9
1991,GubiczaMark,29.0,2166667.0,5.68,168,84,89,10,9,12,399,601.0,0,215.0,78.0,AL,KCA,26
1991,GullicksonBill,32.0,1825000.0,3.9,256,98,91,22,20,9,679,954.0,0,200.0,75.0,AL,DET,35
