ID,playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
2010cuetojo01,cuetojo01,2010,1,CIN,NL,12,7,31,31,1,1,0,557,181,75,19,56,138,0.257,3.64,5.0,5,9.0,2,780.0,0,79,9.0,3.0,12.0
2010daiglca01,daiglca01,2010,1,HOU,NL,1,1,13,0,0,0,0,31,25,13,3,6,6,0.439,11.32,1.0,4,0.0,0,63.0,4,13,0.0,0.0,0.0
2010daleyma01,daleyma01,2010,1,COL,NL,0,1,28,0,0,0,0,70,27,11,2,10,18,0.293,4.24,1.0,1,3.0,0,108.0,4,11,2.0,1.0,1.0
2010danksjo01,danksjo01,2010,1,CHA,AL,15,11,32,32,1,1,0,639,189,88,18,70,162,0.237,3.72,2.0,2,4.0,1,878.0,0,93,5.0,0.0,25.0
2010davieky01,davieky01,2010,1,KCA,AL,8,12,32,32,1,0,0,551,206,109,20,80,126,0.283,5.34,1.0,5,2.0,1,817.0,0,114,3.0,5.0,19.0
2010davisdo02,davisdo02,2010,1,MIL,NL,1,4,8,8,0,0,0,115,55,32,6,21,34,0.333,7.51,1.0,3,3.0,0,191.0,0,36,2.0,0.0,4.0
2010daviswa01,daviswa01,2010,1,TBA,AL,12,10,29,29,0,0,0,504,165,76,24,62,113,0.255,4.07,2.0,4,5.0,0,722.0,0,77,3.0,6.0,8.0
2010dedunsa01,dedunsa01,2010,1,COL,NL,0,0,4,0,0,0,0,8,3,1,1,1,3,0.273,3.38,0.0,0,0.0,0,12.0,3,1,0.0,0.0,0.0
2010delanro01,delanro01,2010,1,MIN,AL,0,0,1,0,0,0,0,3,2,1,1,1,0,0.5,9.0,0.0,0,0.0,0,5.0,1,1,0.0,0.0,1.0
2010delarjo01,delarjo01,2010,1,COL,NL,8,7,20,20,0,0,0,365,105,57,15,55,113,0.235,4.22,4.0,9,5.0,1,512.0,0,62,3.0,3.0,21.0
2010delcama01,delcama01,2010,1,BOS,AL,3,2,48,0,0,0,0,132,33,23,7,28,32,0.204,4.7,1.0,0,1.0,0,193.0,9,24,1.0,1.0,1.0
2010delcama01,delcama01,2010,2,COL,NL,0,2,9,0,0,0,0,25,12,6,1,4,6,0.324,6.48,1.0,1,0.0,0,41.0,3,6,0.0,0.0,1.0
2010delroen01,delroen01,2010,1,CIN,NL,1,1,9,0,0,0,0,26,13,2,0,4,3,0.382,2.08,0.0,0,0.0,0,42.0,2,4,3.0,1.0,2.0
2010delroen01,delroen01,2010,2,HOU,NL,0,0,2,0,0,0,0,4,4,3,0,0,1,0.5,20.25,0.0,0,1.0,0,9.0,1,3,0.0,0.0,0.0
2010demelsa01,demelsa01,2010,1,ARI,NL,2,1,37,0,0,0,2,111,42,22,5,12,33,0.278,5.35,2.0,5,1.0,0,165.0,10,27,0.0,1.0,4.0
2010dempsry01,dempsry01,2010,1,CHN,NL,15,12,34,34,1,0,0,646,198,92,25,86,208,0.244,3.85,4.0,6,10.0,0,918.0,0,110,9.0,2.0,19.0
